,respondent,task,complexity,interval,time,company,purpose,purpose_tokens,purpose_token_count,purpose_word_count,detail,desc_tokens,desc_token_count,desc_token_count_group,desc_word_count,desc_word_count_group,desc_eval_comp,desc_eval_elem,desc_eval_char,desc_eval_sum,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,PQ,HQ,ATT,familiarity
130,28,5,7.5,2s,143.0,1.0,0.0,,0,2,0.5,yellow black logo,3,low,4,low,0,1,0,1,5,3,4,3,4,3,3,3,3,4,4.0,3.25,3.0,False
131,28,6,8.0,2s,148.0,1.0,1.0,technology news story,3,3,0.0,block text heading left hand side newspaper style,8,med,12,med,1,1,1,2,3,6,7,5,6,6,4,6,6,5,5.5,5.0,6.0,False
132,29,1,0.22,2s,118.0,1.0,1.0,sustainable fashion woman child,4,7,0.0,clean limited information picture colour made easy scan quickly thing page general woman child section linked biggest bottom part page logo top left corner top page menu sort,28,high,76,high,3,3,1,4,7,6,5,6,6,6,5,6,7,5,6.25,5.5,6.0,False
133,29,2,2.0,2s,123.0,0.0,1.0,eyewear including contact,3,3,1.0,body page top including logo body featured large picture child child adult hugging wearing sunglass instinct travel website looked category big picture included glass contact confused time,27,high,86,high,2,3,0,3,3,5,4,5,3,5,4,3,2,4,3.0,4.5,4.0,False
134,29,3,2.97,2s,114.0,0.5,1.0,outdoor clothing equipment,3,4,0.0,page big tiger middle menu top bottom page option direct category clothing page primarily blue red featured picture mountain indicating outdoorsiness brand product,23,high,59,high,3,4,1,5,6,5,6,5,6,5,3,6,6,5,6.0,4.5,5.5,False
135,29,4,5.27,2s,110.0,1.0,1.0,weather information,2,4,1.0,page logo top left menu top page left page map weather depicted standard weather symbol sun link subpages temperature prediction rest week,22,high,60,high,3,4,0,4,6,5,7,4,6,4,2,6,6,4,6.25,3.5,5.5,False
136,29,5,7.5,2s,119.0,1.0,1.0,animal food animal related product,5,9,0.0,colourful picture different animal including rooster logo top left looked bit cheap clear viewing sold animal product animal food menu top offer spread page,24,high,59,high,2,4,1,5,3,3,5,3,5,2,1,5,5,5,4.5,2.75,4.0,False
137,29,6,8.0,2s,226.0,1.0,1.0,tech news,2,2,0.0,looked news website article headline accompanying picture news article article related technology picture article looked clickbait seemingly related crypto full structure page,22,high,60,high,3,3,1,4,5,3,3,2,3,2,2,2,3,3,3.5,2.25,2.5,False
138,30,1,0.22,2s,65.0,1.0,1.0,sustainable clothing,2,2,0.0,sell sustainable clothing age gender,5,low,8,low,0,1,0,1,6,7,7,7,6,7,6,7,7,6,6.5,6.5,7.0,False
139,30,2,2.0,2s,66.0,1.0,1.0,eye wear,2,2,0.0,sell eye wear different occasion,5,low,6,low,0,0,0,0,6,6,6,6,6,6,4,6,7,6,6.25,5.5,6.0,False
140,30,3,2.97,2s,93.0,1.0,1.0,hiking equipment,2,2,0.0,big leopard front page,4,low,5,low,0,1,0,1,3,5,2,3,2,3,5,3,2,3,2.25,3.5,4.0,False
141,30,4,5.27,2s,95.0,1.0,1.0,show weather,2,3,1.0,cheap information,2,low,6,low,0,0,0,0,4,2,5,2,7,1,2,5,5,2,5.25,1.75,3.5,False
142,30,5,7.5,2s,130.0,1.0,1.0,stuff pet,2,3,0.0,cheap vibe shop big discount sale,6,med,15,med,1,0,1,1,5,3,3,1,4,3,3,4,3,3,3.75,2.5,3.5,False
143,30,6,8.0,2s,67.0,1.0,1.0,show article current tech news,5,6,0.5,clearn layout abit crowded,4,low,8,low,0,0,1,1,2,5,5,5,5,5,5,6,4,5,4.0,5.0,5.5,False
144,31,1,0.22,2s,148.0,1.0,1.0,clothing,1,1,0.0,simple page male female younger child logo top left corner whistle easiest read colour blue yellow yellow dominent bottom looked catagories click,22,high,53,high,3,3,2,5,6,6,6,5,5,5,6,6,6,6,5.75,5.5,6.0,False
145,31,2,2.0,2s,153.0,1.0,1.0,glass,1,1,1.0,holiday top left picture looked sellign sunglass light website large box looked clicked logo top left page,17,high,40,high,2,3,1,4,6,6,6,6,5,6,5,6,6,6,5.75,5.75,6.0,False
146,31,3,2.97,2s,137.0,1.0,1.0,outdoor clothing,2,2,0.0,hillspot top left corner large leopard cheetah dominent picture box bottom clothing footwear option click,15,high,28,high,2,4,0,4,5,6,5,5,5,5,4,5,5,5,5.0,4.75,5.5,False
147,31,4,5.27,2s,119.0,1.0,1.0,weather forecasting,2,3,0.0,blue dominent colour large map local weather hand side looked weekly forecast,12,med,25,high,1,1,1,2,3,5,6,5,5,6,5,5,5,4,4.75,5.0,5.0,False
148,31,5,7.5,2s,124.0,1.0,0.0,food,1,1,0.5,red circle lot yellow item row,6,med,14,med,1,2,1,3,5,3,5,2,4,3,3,3,4,3,4.5,2.75,3.0,False
149,31,6,8.0,2s,158.0,1.0,0.0,unknown lot writing page looked chaotic,6,9,0.0,page lot small writing page large picture top sort article underneath chaotic layout easy view,15,high,37,high,1,2,1,3,1,1,1,2,2,4,2,1,1,1,1.25,2.25,1.0,False
150,32,1,0.22,2s,49.0,1.0,1.0,sustainable fashion,2,2,0.0,image item website,3,low,10,low,0,1,0,1,5,3,4,6,3,4,5,5,5,4,4.25,4.75,4.0,False
151,32,2,2.0,2s,64.0,1.0,1.0,sunglass contact lens holiday,4,5,0.0,number image advertising sun glass contact lens,7,med,10,low,1,1,0,1,5,3,5,4,6,2,5,4,3,5,4.75,4.0,3.5,False
152,32,3,2.97,2s,67.0,1.0,1.0,sporting gear,2,2,0.0,lot separate image text big cheetah picture mountain sport,9,med,15,med,1,2,1,3,6,5,4,5,5,4,4,5,6,5,5.25,4.5,5.0,False
153,32,4,5.27,2s,74.0,1.0,1.0,weather forecast,2,2,0.0,weather forecast website central european forecast varius temperature,8,med,11,low,1,1,0,1,5,3,5,4,7,4,3,5,6,4,5.75,3.75,4.0,False
154,32,5,7.5,2s,56.0,1.0,1.0,food equipment,2,3,0.0,number item,2,low,6,low,0,0,0,0,5,3,5,4,5,3,4,6,5,4,5.0,3.75,4.5,False
155,32,6,8.0,2s,57.0,1.0,0.5,technology review,2,2,0.0,tech review website lot tech review article,7,med,9,low,0,1,0,1,3,4,3,5,5,4,5,6,3,5,3.5,4.75,5.0,False
156,33,1,0.22,2s,132.0,1.0,1.0,clothing child adult,3,5,1.0,large image child shirt top category bottom picture showing men woman kid clothing,13,high,25,high,1,2,0,2,7,7,6,7,7,7,5,7,7,6,6.75,6.25,7.0,False
157,33,2,2.0,2s,114.0,1.0,1.0,eyewear,1,1,1.0,family beach sun woman running couple sunglass,7,med,23,med,1,1,0,1,6,6,5,5,4,7,5,5,5,6,5.0,5.75,5.5,False
158,33,3,2.97,2s,118.0,1.0,1.0,outdoor adventure clothing apparel,4,5,0.0,large picture wild hiker different category bottom,7,med,14,med,1,2,0,2,5,5,7,4,5,7,7,6,6,6,5.75,6.0,5.5,False
159,33,4,5.27,2s,94.0,1.0,1.0,weather information,2,2,0.0,map forecast information current day week breakdown information side screen,10,med,22,med,2,3,1,4,7,4,7,3,7,4,4,4,7,4,7.0,3.75,4.0,False
160,33,5,7.5,2s,143.0,1.0,0.0,decorative garden ornament,3,3,1.0,image product different category top page big bright coloured text left side,12,med,21,med,1,2,0,2,6,2,6,1,3,2,2,3,4,4,4.75,2.25,2.5,False
161,33,6,8.0,2s,150.0,1.0,1.0,news website technology related story,5,6,1.0,wordy page lot article bright orange picture body website list article screen,12,med,25,high,2,2,2,4,2,2,6,3,7,5,1,3,4,1,4.75,2.5,2.5,False
162,34,1,0.22,2s,96.0,1.0,1.0,sell clothing,2,2,0.0,clothing range age image adult child,6,med,14,med,1,1,0,1,5,5,5,6,4,5,6,6,5,5,4.75,5.5,5.5,False
163,34,2,2.0,2s,72.0,1.0,1.0,sell sunglass,2,2,1.0,shop sunglass advertised range vacation,5,low,8,low,0,0,0,0,4,5,5,4,4,4,4,5,5,4,4.5,4.0,5.0,False
164,34,3,2.97,2s,89.0,1.0,1.0,sell sport clothing,3,3,0.0,illustration jaguar type animal sell sport gear,7,med,9,low,0,1,0,1,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,False
165,34,4,5.27,2s,58.0,1.0,1.0,weather news,2,2,0.0,forecast weather,2,low,3,low,0,1,0,1,4,3,4,4,4,3,3,4,4,4,4.0,3.5,3.5,False
166,34,5,7.5,2s,68.0,1.0,1.0,animal food,2,2,1.0,yellow theme shope animal product,5,low,6,low,0,0,1,1,5,5,5,5,4,4,5,5,5,4,4.75,4.5,5.0,False
167,34,6,8.0,2s,78.0,1.0,1.0,tech news,2,2,0.0,news website,2,low,2,low,0,0,0,0,4,4,5,5,4,4,4,5,5,4,4.5,4.25,4.5,False
168,35,1,0.22,2s,76.0,1.0,1.0,sustainable fashion,2,2,0.0,clothing shop promoting sustainable fashion woman child,7,med,9,low,0,1,0,1,6,5,5,5,6,6,4,6,6,4,5.75,4.75,5.5,False
169,35,2,2.0,2s,106.0,1.0,1.0,eyeware glass contact lens,4,4,1.0,page made different graphic central image smaller image glass sunglass contact lens,12,med,18,med,1,2,0,2,6,6,6,5,4,4,4,5,6,4,5.5,4.25,5.5,False
170,35,3,2.97,2s,143.0,1.0,1.0,outdoor sporting good,3,3,0.0,website outdoor sport good large graphic cheetah leopard smaller box different graphic representing different outdoor activity,16,high,23,med,1,2,0,2,5,5,5,6,4,5,4,5,5,4,4.75,4.75,5.0,False
171,35,4,5.27,2s,105.0,0.0,1.0,weather forecast,2,2,1.0,looked weather forecast web page large graphic centre map showed rain,11,med,16,med,1,1,0,1,4,4,5,4,6,4,3,4,5,4,5.0,3.75,4.0,False
172,35,5,7.5,2s,74.0,1.0,0.0,pas,1,1,0.0,unable describe clear offered,4,low,11,low,0,0,0,0,3,3,2,2,1,1,2,1,1,3,1.75,2.0,2.0,False
173,35,6,8.0,2s,86.0,1.0,1.0,information technology,2,3,0.0,text side graphic middle,4,low,9,low,1,2,0,2,5,4,5,4,5,4,3,4,4,3,4.75,3.5,4.0,False
174,36,1,0.22,2s,200.0,1.0,1.0,night clothes,2,2,0.0,picture woman girl child wearing striped night clothes,8,med,19,med,1,1,0,1,6,5,6,5,6,5,1,5,6,4,6.0,3.75,5.0,False
175,36,2,2.0,2s,190.0,0.0,1.0,glass contact lens,3,4,0.0,large picture showing text ready holiday picture contact lens glass sunglass,11,med,22,med,2,2,0,2,5,4,6,4,6,3,1,5,6,3,5.75,2.75,4.5,False
176,36,3,2.97,2s,196.0,0.0,1.0,outdoor clothes backpack boot,4,5,0.0,picture leopard smaller picture outdoor clothes boot stuff shown mountain walking setting,12,med,20,med,1,2,0,2,5,5,6,5,6,5,2,5,6,3,5.75,3.75,5.0,False
177,36,4,5.27,2s,135.0,1.0,1.0,weather forecast,2,2,0.0,map blue weather symbol showing weather day,7,med,14,med,0,1,0,1,6,5,7,6,7,6,4,6,7,5,6.75,5.25,5.5,False
178,36,5,7.5,2s,235.0,1.0,0.0,cheap garish tat,3,3,0.0,large number garish coloured badly photographed cheap product sort stuff street trader sell haloween,14,high,23,med,1,1,0,1,3,1,2,1,7,1,1,1,5,1,4.25,1.0,1.0,False
179,36,6,8.0,2s,153.0,1.0,1.0,information gadget technology,3,5,0.0,lot picture variety story short summary story,7,med,18,med,1,1,0,1,3,3,5,3,6,3,2,4,5,2,4.75,2.5,3.5,False
180,37,1,0.22,2s,146.0,0.0,1.0,clothes womrns top,3,4,0.0,number model wearing bright top looked approachable,7,med,10,low,1,1,0,1,4,4,7,3,6,4,4,6,4,2,5.25,3.25,5.0,False
181,37,2,2.0,2s,102.0,0.0,1.0,sunglass,1,1,1.0,showe parent child swimwear holiday clothes wearing sunglass,8,med,11,low,0,1,0,1,4,6,6,6,6,6,4,6,6,6,5.5,5.5,6.0,False
182,37,3,2.97,2s,139.0,0.5,1.0,clothing expedition great outdoors,4,7,1.0,large grey white wild cheetah picture shoe backpack clothing,9,med,18,med,1,2,0,2,4,7,6,7,4,6,6,7,6,5,5.0,6.0,7.0,False
183,37,4,5.27,2s,109.0,1.0,1.0,image weather,2,3,0.0,chart weather,2,low,5,low,0,1,0,1,3,7,7,5,4,5,1,6,4,5,4.5,4.0,6.5,False
184,37,5,7.5,2s,125.0,0.0,0.0,food,1,1,0.0,image away food carton appeared recycleable,6,med,17,med,0,1,0,1,3,3,4,3,4,2,2,4,3,2,3.5,2.25,3.5,False
185,37,6,8.0,2s,118.0,0.0,0.0,storage,1,1,0.0,woman surprised upset large white building,6,med,9,low,0,1,0,1,4,3,4,5,2,4,4,4,2,4,3.0,4.25,3.5,False
186,38,1,0.22,2s,220.0,1.0,1.0,sustainable fashion child adult,4,6,1.0,web page light colour airy feel showed picture girl wearing pale yellow shirt hedgehog looked adult wearing similar shirt pastel colour,21,high,48,high,3,2,1,3,6,7,6,7,5,7,6,7,7,6,6.0,6.5,7.0,False
187,38,2,2.0,2s,286.0,1.0,1.0,sell glass different scenario sport vacation,6,11,0.0,light bright colour different wearing glass read caption vacation glass web page overcrowded,13,high,40,high,1,2,2,4,5,6,6,5,6,5,4,5,6,5,5.75,4.75,5.5,False
188,38,3,2.97,2s,368.0,1.0,1.0,sporting equipment collection fall called hillsport presumed,7,25,0.0,colour snow leopard pictured bright blue background called hillsport box collection fall picture clothes confusing picture framed box,18,high,53,high,1,2,1,3,3,4,2,4,3,4,3,2,1,3,2.25,3.5,3.0,False
189,38,4,5.27,2s,240.0,1.0,1.0,weather forecast,2,4,0.0,colour light light blue yellow appropriate weather page gave weather forecast remember map temperature page lot hard remember,18,high,51,high,1,1,1,2,3,5,5,4,6,3,3,4,3,3,4.25,3.25,4.5,False
190,38,5,7.5,2s,250.0,1.0,1.0,product,1,2,0.0,busy hard lot lot colour dark gave miserable dingy feel item animal page individually item feed bird,17,high,58,high,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,False
191,38,6,8.0,2s,299.0,1.0,1.0,advice technology difficult sort picture woman hand head picture money insight tech selling,13,40,0.0,confusing dark colour lot different picture difficult selling advising picture money picture woman upset looked boring switch confusing,18,high,47,high,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,False
192,39,1,0.22,2s,240.0,1.0,1.0,clothing kid primarily,3,4,0.0,reasonable fashion retail outlet selling childrens clothing modelled child age approximately,11,med,14,med,0,0,0,0,4,4,6,5,5,6,5,4,5,4,5.0,5.0,4.0,False
193,39,2,2.0,2s,201.0,0.0,0.0,holiday idea,2,2,0.0,enticing page relaxed holiday maker somethings page,7,med,24,high,0,1,0,1,5,6,6,6,6,5,5,5,5,5,5.5,5.25,5.5,False
194,39,3,2.97,2s,253.0,0.0,0.0,dynafit travel company choice exciting safari adventure,7,13,0.0,travel company ready organise holiday lifetime africa,7,med,13,med,0,0,0,0,4,4,5,6,5,5,5,5,6,5,5.0,5.25,4.5,False
195,39,4,5.27,2s,232.0,0.5,1.0,weather update,2,2,0.0,second managed different pic weather temperature,6,med,15,med,1,1,0,1,4,4,6,6,6,6,5,5,5,5,5.25,5.5,4.5,False
196,39,5,7.5,2s,213.0,1.0,0.0,convenient takeaway city dweller office worker,6,9,0.0,recall fastfood option shown box takeaway food business,8,med,17,med,0,1,0,1,3,3,5,3,4,3,3,4,4,3,4.0,3.0,3.5,False
197,39,6,8.0,2s,176.0,0.0,0.0,,0,2,0.0,looked real estate,3,low,9,low,0,0,0,0,3,2,2,3,2,3,3,2,2,3,2.25,3.0,2.0,False
204,41,1,0.22,2s,206.0,0.0,1.0,sustainable clothing,2,2,0.0,informative site dealing sustainable clothing,5,low,8,low,0,0,0,0,2,3,3,3,4,3,2,4,3,2,3.0,2.5,3.5,False
205,41,2,2.0,2s,267.0,0.0,0.0,holiday trip younger adult colourful upbeat,6,12,1.0,advert holiday company aimed younger upbeat bright image showing enjoying,10,med,22,med,1,0,1,1,5,7,7,6,5,6,7,7,6,7,5.75,6.5,7.0,False
206,41,3,2.97,2s,176.0,0.0,0.0,service product possible motor industry,5,10,0.0,company offering service item industrial sector,6,med,11,low,0,0,0,0,5,4,6,4,6,4,4,5,5,4,5.5,4.0,4.5,False
207,41,4,5.27,2s,219.0,1.0,1.0,weather report different area showing lot detail rain wind,9,16,0.0,detailed page showing expected weather summary,6,med,8,low,0,1,1,2,2,3,6,3,3,2,2,5,4,3,3.75,2.5,4.0,False
208,41,5,7.5,2s,177.0,1.0,0.0,ticket zoo,2,4,0.5,bold attractive,2,low,7,low,0,0,1,1,3,6,4,6,3,4,6,6,3,7,3.25,5.75,6.0,False
209,41,6,8.0,2s,197.0,1.0,1.0,different article modern technology,4,5,0.0,information packed website dealing variety tech article aimed professional person,10,med,16,med,1,1,1,2,2,2,6,4,4,5,2,4,4,2,4.0,3.25,3.0,False
210,42,1,0.22,2s,93.0,1.0,1.0,sustainable clothing,2,2,0.0,child model clothing,3,low,4,low,0,1,0,1,6,4,5,5,6,4,3,5,6,3,5.75,3.75,4.5,True
211,42,2,2.0,2s,73.0,1.0,1.0,eye product,2,2,0.0,campaign summer holiday contact lens,5,low,15,med,0,1,0,1,4,3,4,4,4,3,3,4,5,3,4.25,3.25,3.5,False
212,42,3,2.97,2s,94.0,1.0,1.0,outdoor gear,2,2,0.0,leapord running mountain category option backpack foot gear,8,med,18,med,1,3,0,3,4,5,5,5,5,5,5,5,6,5,5.0,5.0,5.0,False
213,42,4,5.27,2s,90.0,1.0,1.0,information weather,2,4,0.0,large weather map specific location listed,6,med,11,low,1,2,0,2,6,4,5,4,6,3,3,4,7,4,6.0,3.5,4.0,False
214,42,5,7.5,2s,77.0,1.0,1.0,related product,2,3,0.0,product shown page,3,low,6,low,0,0,0,0,4,3,4,3,5,3,3,4,5,3,4.5,3.0,3.5,False
215,42,6,8.0,2s,75.0,1.0,1.0,technology news,2,2,1.0,multiple article technology,3,low,4,low,0,1,0,1,3,3,5,3,5,4,3,4,6,4,4.75,3.5,3.5,False
216,43,1,0.22,2s,102.0,1.0,1.0,childrens clothes,2,2,0.0,simply structered website sold childrens clothes,6,med,8,low,0,0,1,1,6,4,6,4,3,3,4,5,6,4,5.25,3.75,4.5,False
217,43,2,2.0,2s,104.0,1.0,0.0,,0,3,1.0,blue themed website couple pictured screen,6,med,11,low,1,1,1,2,6,4,6,4,5,4,3,4,6,3,5.75,3.5,4.0,False
218,43,3,2.97,2s,140.0,1.0,0.0,,0,2,0.0,website called hillsport big picture tiger front,7,med,15,med,0,1,0,1,4,5,3,3,4,3,3,4,5,3,4.0,3.0,4.5,False
219,43,4,5.27,2s,120.0,1.0,1.0,weather update,2,4,0.0,weather forecast show rainy quation yellow box asks rainy,9,med,19,med,1,2,0,2,6,6,7,5,4,5,4,6,6,5,5.75,4.75,6.0,False
220,43,5,7.5,2s,120.0,1.0,1.0,food,1,6,1.0,yellow logo called mega zoo item bottom,7,med,16,med,1,2,0,2,4,6,5,4,3,4,4,5,6,4,4.5,4.0,5.5,False
221,43,6,8.0,2s,138.0,1.0,0.5,showed news,2,2,0.0,website called tech live image phone logo black red,9,med,18,med,1,2,0,2,5,5,4,3,5,4,3,4,4,3,4.5,3.25,4.5,False
222,45,1,0.22,2s,110.0,1.0,1.0,sustainable clothing woman men childrens clothes,6,9,0.0,image woman child different coloured pastel background tab menswear womenswear child clothes simple website soothing pastel colour,17,high,37,high,2,2,2,4,6,6,6,6,6,5,3,5,6,4,6.0,4.5,5.5,False
223,45,2,2.0,2s,90.0,1.0,0.0,holiday vacation,2,3,1.0,called sold cheap vacation image wearing sunglass colour sky blue,10,med,25,high,0,1,1,2,5,5,5,4,4,3,3,4,5,4,4.75,3.5,4.5,False
224,45,3,2.97,2s,89.0,1.0,1.0,sell backpack footwear outdoor gear,5,8,0.0,image snow leopard image tab product category footwear backpack,9,med,23,med,1,2,0,2,6,6,6,5,5,5,4,6,7,5,6.0,4.75,6.0,False
225,45,4,5.27,2s,70.0,1.0,1.0,weather report,2,4,0.0,image weather report map side weather different place prague,9,med,27,high,1,3,0,3,4,3,7,3,6,2,2,5,7,2,6.0,2.25,4.0,False
226,45,5,7.5,2s,119.0,1.0,0.0,,0,3,0.0,colour yellow website selling product plant image,7,med,24,high,1,1,1,2,3,3,5,2,2,1,4,3,2,4,3.0,2.75,3.0,False
227,45,6,8.0,2s,69.0,1.0,1.0,report tech news,3,5,0.0,tab side section middle news story battery,7,med,20,med,1,3,0,3,1,1,5,1,5,2,2,3,5,2,4.0,1.75,2.0,False
228,46,1,0.22,2s,84.0,1.0,1.0,clothing,1,1,0.0,clothing retailer adult child,4,low,6,low,0,0,0,0,6,5,5,5,5,5,3,5,5,4,5.25,4.25,5.0,False
229,46,2,2.0,2s,98.0,0.5,0.0,vacation,1,1,1.0,booking vacation,2,low,7,low,0,0,0,0,6,4,4,4,5,4,3,3,5,3,5.0,3.5,3.5,False
230,46,3,2.97,2s,122.0,1.0,1.0,sport clothing,2,2,0.0,large image snow leopard looked nice,6,med,10,low,0,1,0,1,5,5,5,4,5,4,4,5,5,4,5.0,4.0,5.0,False
231,46,4,5.27,2s,92.0,1.0,1.0,weather prediction,2,2,0.0,site give weather prediction looked nice simple,7,med,13,med,0,0,1,1,6,5,6,6,6,4,4,6,6,5,6.0,4.75,5.5,False
232,46,5,7.5,2s,139.0,1.0,1.0,animal product,2,2,0.0,site sell product animal colourful,5,low,10,low,0,0,1,1,5,3,4,3,5,2,3,3,5,3,4.75,2.75,3.0,False
233,46,6,8.0,2s,132.0,1.0,0.5,news,1,1,0.0,looked site showed article tech news,6,med,10,low,0,0,0,0,2,3,3,4,4,4,2,3,3,2,3.0,3.0,3.0,False
234,47,1,0.22,2s,151.0,1.0,1.0,clothes woman child,3,6,0.0,picture woman child wearing white stripy clothes,7,med,11,low,0,1,0,1,7,5,5,4,4,4,5,6,5,4,5.25,4.25,5.5,False
235,47,2,2.0,2s,92.0,1.0,0.0,vacation,1,1,0.5,family beach,2,low,4,low,0,1,0,1,7,6,5,5,4,4,5,6,6,4,5.5,4.5,6.0,False
236,47,3,2.97,2s,111.0,1.0,0.0,,0,2,0.0,jaguar word collection,3,low,6,low,1,2,0,2,7,5,4,4,4,4,5,5,4,4,4.75,4.25,5.0,False
237,47,4,5.27,2s,120.0,1.0,1.0,weather forecast,2,2,0.0,weather infotmation,2,low,5,low,0,0,0,0,7,5,4,4,5,4,5,6,6,4,5.5,4.25,5.5,False
238,47,5,7.5,2s,78.0,1.0,0.0,,0,2,0.0,,0,low,7,low,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,False
239,47,6,8.0,2s,187.0,1.0,0.5,tech,1,5,0.0,lot writting picture white vagon,5,low,9,low,0,0,1,1,4,4,4,4,4,4,3,5,5,4,4.25,3.75,4.5,False
240,50,1,0.22,2s,132.0,1.0,1.0,clothing woman child,3,6,0.0,photo labelled men woman childrens clothing presumably link section page simple plain lot empty space picture model appearing casual friendly pose highlighted outfit small menu top page possible search bar,30,high,61,high,3,3,2,5,7,5,6,4,5,4,4,5,7,4,6.25,4.0,5.0,False
241,50,2,2.0,2s,118.0,1.0,1.0,sunglass possibly regular glass optical service,6,8,1.0,book appointment button top picture model sunglass page blue sunny feeling relating travel,13,high,32,high,1,2,1,3,5,5,4,4,3,3,4,4,3,4,3.75,3.75,4.5,False
242,50,3,2.97,2s,140.0,1.0,1.0,outdoor clothing equipment believe,4,6,0.0,large picture tiger screen left picture bottom page labelled shopping category web page large clear image lot red,18,high,44,high,2,2,1,3,5,6,6,7,5,5,6,6,7,6,5.75,6.0,6.0,True
243,50,4,5.27,2s,125.0,1.0,1.0,weather forecasting,2,3,0.0,part web page featured representation map weather information hand side table weather information possibly different day area lot information packed space difficult focus attention probably easier familiar page,28,high,66,high,2,2,1,3,3,3,4,4,5,4,3,4,5,4,4.25,3.75,3.5,False
244,50,5,7.5,2s,88.0,1.0,1.0,animal product food toy enrichment,5,6,0.0,photo different section including terrarium empty space top section webpage,10,med,20,med,1,2,0,2,3,2,3,2,4,2,3,3,4,4,3.5,2.75,2.5,False
245,50,6,8.0,2s,108.0,1.0,1.0,news information technology,3,5,0.0,multiple section containing multiple article centre section left section immediately clear grouping article different section referred felt similar newspaper page,20,high,55,high,2,2,0,2,2,2,3,3,2,3,2,3,2,2,2.25,2.5,2.5,False
246,2,1,0.22,5s,45.0,1.0,1.0,sustainable clothes,2,2,0.0,pqale bland inviting,3,low,5,low,0,0,1,1,6,5,4,3,4,4,4,3,3,3,4.25,3.5,4.0,False
247,2,2,2.0,5s,22.0,1.0,0.0,vacation,1,1,1.0,bright colourful inviting,3,low,3,low,0,0,1,1,5,5,4,4,5,5,5,5,5,5,4.75,4.75,5.0,False
248,2,3,2.97,5s,42.0,0.5,1.0,athletic gear,2,2,0.0,big tiger running hill information,5,low,10,low,0,2,0,2,3,4,4,4,3,3,3,4,4,4,3.5,3.5,4.0,False
249,2,4,5.27,5s,39.0,1.0,1.0,weather forecast,2,3,0.0,lot information overly colourful,4,low,6,low,0,0,2,2,3,4,3,4,4,3,3,3,4,4,3.5,3.5,3.5,False
250,2,5,7.5,5s,48.0,1.0,1.0,item,1,2,1.0,busy lot colourful,3,low,7,low,0,0,2,2,3,4,4,4,4,3,3,4,3,4,3.5,3.5,4.0,False
251,2,6,8.0,5s,36.0,1.0,0.0,battery,1,1,0.0,word concentrate,2,low,5,low,0,0,0,0,1,1,2,3,3,3,4,4,3,4,2.25,3.5,2.5,False
252,3,1,0.22,5s,114.0,1.0,1.0,clothing age gender,3,6,0.0,sleek website big picture middle panel picture bottom category,9,med,17,med,1,2,0,2,7,6,6,6,5,5,5,6,7,5,6.25,5.25,6.0,False
253,3,2,2.0,5s,95.0,1.0,1.0,sunglass eye protection,3,4,1.0,blue webpage picture middle beach,5,low,12,med,1,1,1,2,3,4,3,3,4,2,2,2,3,2,3.25,2.25,3.0,False
254,3,3,2.97,5s,208.0,1.0,1.0,sportswear,1,1,0.0,blueish website homepage big big picture,6,med,10,low,0,1,1,2,6,5,6,4,5,5,3,5,5,5,5.5,4.25,5.0,False
255,3,4,5.27,5s,223.0,1.0,1.0,website show weather foecast,4,7,0.5,title navigation bar top big map picture different location corresponding weather option,12,med,23,med,2,3,0,3,3,3,5,3,5,4,5,5,5,5,4.5,4.25,4.0,False
256,3,5,7.5,5s,100.0,1.0,1.0,food,1,2,1.0,yellow themed page picture food,5,low,10,low,1,1,1,2,4,5,5,5,4,3,4,5,5,5,4.5,4.25,5.0,False
257,3,6,8.0,5s,962.0,1.0,0.5,battery technology,2,3,0.0,looked alot information page title bold writing,7,med,16,med,1,1,1,2,2,2,3,3,3,2,3,3,3,3,2.75,2.75,2.5,False
258,4,1,0.22,5s,64.0,1.0,1.0,clothing,1,1,0.0,advetising clothing woman child great colour,6,med,9,low,1,1,0,1,4,5,4,5,4,4,5,4,5,4,4.25,4.5,4.5,False
259,4,2,2.0,5s,96.0,1.0,1.0,glass sport glass sunglass,4,4,0.0,picture family vacation location advertising sunglass sport glass,8,med,11,low,0,1,0,1,6,6,6,5,5,4,4,4,4,6,5.25,4.75,5.0,False
260,4,3,2.97,5s,61.0,1.0,1.0,sport gear,2,2,0.0,found lot hard remember,4,low,13,med,0,0,0,0,3,6,4,4,5,4,4,4,5,5,4.25,4.25,5.0,False
261,4,4,5.27,5s,424.0,1.0,1.0,news weather,2,4,0.5,unsure,1,low,1,low,0,0,0,0,4,5,4,5,4,4,4,4,4,4,4.0,4.25,4.5,False
262,4,5,7.5,5s,67.0,1.0,0.0,food,1,1,0.0,colourful,1,low,1,low,0,0,1,1,4,4,4,4,4,4,5,5,5,5,4.25,4.5,4.5,False
263,4,6,8.0,5s,128.0,1.0,0.0,complicated alot,2,5,0.0,writing hard,2,low,14,med,0,0,1,1,2,2,2,4,4,2,4,4,4,4,3.0,3.5,3.0,False
